bin_low_edge, bin_center, best, 0p5, 0p6, 0p7, 0p8, 0p9, 1p1, 1p2, 1p3, 1p4, 1p5
915, 922.5, 839, 645, 693, 730, 783, 813, 871, 921, 960, 974, 1045
930, 937.5, 826, 662, 697, 735, 788, 801, 850, 897, 931, 941, 1009
945, 952.5, 881, 677, 715, 758, 817, 850, 917, 966, 1005, 1033, 1110
960, 967.5, 864, 664, 707, 761, 800, 839, 895, 936, 974, 987, 1059
975, 982.5, 978, 720, 792, 854, 915, 934, 1009, 1073, 1105, 1106, 1174
990, 997.5, 971, 718, 769, 818, 881, 914, 1008, 1054, 1092, 1101, 1162
1005, 1012.5, 983, 730, 783, 846, 902, 939, 1005, 1064, 1099, 1112, 1176
1020, 1027.5, 997, 751, 796, 857, 929, 957, 1034, 1080, 1133, 1151, 1233
1035, 1042.5, 1075, 800, 861, 927, 1003, 1030, 1102, 1146, 1199, 1215, 1283
1050, 1057.5, 1091, 846, 910, 970, 1028, 1059, 1122, 1183, 1228, 1235, 1312
1065, 1072.5, 1261, 987, 1046, 1108, 1185, 1224, 1292, 1345, 1399, 1405, 1491
1080, 1087.5, 1299, 997, 1061, 1139, 1209, 1244, 1327, 1370, 1419, 1422, 1494
1095, 1102.5, 1301, 1011, 1070, 1154, 1227, 1249, 1331, 1391, 1439, 1438, 1537
1110, 1117.5, 1471, 1172, 1231, 1322, 1398, 1424, 1510, 1578, 1627, 1628, 1708
1125, 1132.5, 1570, 1231, 1300, 1383, 1477, 1513, 1593, 1668, 1717, 1712, 1804
1140, 1147.5, 1647, 1278, 1360, 1445, 1553, 1586, 1691, 1777, 1813, 1820, 1922
1155, 1162.5, 1841, 1456, 1551, 1640, 1743, 1777, 1877, 1953, 1994, 1984, 2101
1170, 1177.5, 2074, 1647, 1743, 1853, 1980, 2013, 2111, 2195, 2264, 2261, 2372
1185, 1192.5, 2305, 1861, 1974, 2098, 2217, 2241, 2340, 2432, 2475, 2471, 2592
1200, 1207.5, 2615, 2086, 2193, 2354, 2520, 2550, 2650, 2750, 2771, 2764, 2905
1215, 1222.5, 2963, 2431, 2548, 2677, 2818, 2867, 3014, 3105, 3163, 3144, 3301
1230, 1237.5, 3168, 2676, 2799, 2929, 3070, 3094, 3212, 3299, 3348, 3329, 3476
1245, 1252.5, 2673, 2253, 2362, 2479, 2589, 2616, 2713, 2780, 2823, 2822, 2925
1260, 1267.5, 2607, 2200, 2289, 2403, 2517, 2541, 2627, 2681, 2710, 2708, 2808
1275, 1282.5, 2559, 2196, 2273, 2368, 2467, 2515, 2591, 2653, 2689, 2698, 2798
1290, 1297.5, 2736, 2390, 2494, 2591, 2681, 2706, 2761, 2815, 2841, 2844, 2919
1305, 1312.5, 2838, 2489, 2571, 2674, 2763, 2792, 2862, 2916, 2960, 2963, 3029
1320, 1327.5, 2686, 2386, 2467, 2549, 2621, 2647, 2695, 2743, 2769, 2763, 2835
1335, 1342.5, 2606, 2302, 2367, 2463, 2539, 2574, 2635, 2679, 2695, 2705, 2757
1350, 1357.5, 2311, 2109, 2159, 2214, 2266, 2290, 2334, 2371, 2399, 2403, 2451
1365, 1372.5, 2074, 1918, 1961, 1999, 2045, 2059, 2085, 2108, 2132, 2132, 2165
1380, 1387.5, 1944, 1816, 1850, 1879, 1913, 1920, 1952, 1968, 1979, 1978, 1998
1395, 1402.5, 1792, 1709, 1729, 1750, 1773, 1777, 1792, 1810, 1816, 1816, 1833
1410, 1417.5, 1806, 1742, 1762, 1779, 1795, 1801, 1806, 1812, 1815, 1819, 1827
1425, 1432.5, 1888, 1863, 1869, 1876, 1879, 1882, 1893, 1902, 1905, 1905, 1907
1440, 1447.5, 1994, 1988, 1989, 1991, 1991, 1993, 1995, 1998, 1999, 1998, 2001
1455, 1462.5, 132051, 132042, 132044, 132048, 132051, 132051, 132053, 132055, 132056, 132057, 132060
1470, 1477.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1485, 1492.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1500, 1507.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1515, 1522.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1530, 1537.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1545, 1552.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1560, 1567.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1575, 1582.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1590, 1597.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1605, 1612.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1620, 1627.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1635, 1642.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1650, 1657.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1665, 1672.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1680, 1687.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1695, 1702.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1710, 1717.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1725, 1732.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1740, 1747.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1755, 1762.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1770, 1777.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1785, 1792.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1800, 1807.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1815, 1822.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1830, 1837.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1845, 1852.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1860, 1867.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1875, 1882.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1890, 1897.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1905, 1912.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1920, 1927.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1935, 1942.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1950, 1957.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1965, 1972.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1980, 1987.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1995, 2002.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2010, 2017.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2025, 2032.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2040, 2047.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2055, 2062.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2070, 2077.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2085, 2092.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2100, 2107.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2115, 2122.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2130, 2137.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2145, 2152.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2160, 2167.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2175, 2182.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2190, 2197.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2205, 2212.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2220, 2227.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2235, 2242.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2250, 2257.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2265, 2272.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2280, 2287.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2295, 2302.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2310, 2317.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2325, 2332.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2340, 2347.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2355, 2362.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2370, 2377.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2385, 2392.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2400, 2407.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2415, 2422.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2430, 2437.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2445, 2452.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2460, 2467.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2475, 2482.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2490, 2497.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2505, 2512.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2520, 2527.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2535, 2542.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2550, 2557.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2565, 2572.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2580, 2587.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2595, 2602.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2610, 2617.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2625, 2632.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2640, 2647.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2655, 2662.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2670, 2677.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2685, 2692.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2700, 2707.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2715, 2722.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2730, 2737.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2745, 2752.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2760, 2767.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2775, 2782.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2790, 2797.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2805, 2812.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2820, 2827.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2835, 2842.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2850, 2857.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2865, 2872.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2880, 2887.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2895, 2902.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2910, 2917.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2925, 2932.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2940, 2947.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2955, 2962.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2970, 2977.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2985, 2992.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3000, 3007.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3015, 3022.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3030, 3037.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3045, 3052.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3060, 3067.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3075, 3082.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3090, 3097.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3105, 3112.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3120, 3127.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3135, 3142.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3150, 3157.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3165, 3172.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3180, 3187.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3195, 3202.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3210, 3217.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3225, 3232.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3240, 3247.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3255, 3262.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3270, 3277.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3285, 3292.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3300, 3307.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3315, 3322.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3330, 3337.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3345, 3352.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3360, 3367.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3375, 3382.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3390, 3397.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3405, 3412.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3420, 3427.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3435, 3442.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3450, 3457.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3465, 3472.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3480, 3487.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3495, 3502.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3510, 3517.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3525, 3532.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3540, 3547.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3555, 3562.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3570, 3577.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3585, 3592.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3600, 3607.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3615, 3622.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3630, 3637.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3645, 3652.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3660, 3667.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3675, 3682.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3690, 3697.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3705, 3712.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3720, 3727.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3735, 3742.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3750, 3757.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3765, 3772.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3780, 3787.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3795, 3802.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3810, 3817.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3825, 3832.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3840, 3847.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3855, 3862.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3870, 3877.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3885, 3892.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3900, 3907.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3915, 3922.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3930, 3937.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3945, 3952.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3960, 3967.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3975, 3982.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3990, 3997.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4005, 4012.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4020, 4027.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4035, 4042.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4050, 4057.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4065, 4072.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4080, 4087.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4095, 4102.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4110, 4117.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4125, 4132.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4140, 4147.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4155, 4162.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4170, 4177.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4185, 4192.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4200, 4207.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4215, 4222.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4230, 4237.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4245, 4252.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4260, 4267.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4275, 4282.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4290, 4297.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4305, 4312.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4320, 4327.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4335, 4342.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4350, 4357.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4365, 4372.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4380, 4387.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4395, 4402.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4410, 4417.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4425, 4432.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4440, 4447.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4455, 4462.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4470, 4477.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4485, 4492.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4500, 4507.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4515, 4522.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4530, 4537.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4545, 4552.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4560, 4567.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4575, 4582.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4590, 4597.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4605, 4612.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4620, 4627.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4635, 4642.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4650, 4657.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4665, 4672.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4680, 4687.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4695, 4702.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4710, 4717.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4725, 4732.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4740, 4747.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4755, 4762.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
